Category,State/UT,Number of Convicts Admitted During the year,Number of Habitual Offenders,year,Agriculture,Carpentry,Canning,Tailoring,Weaving,Making of Soap & Phenyl,Handloom,Others,No. of prisoners to whom financial assistance provided on release,No. of convicts rehabilitated,No. of prisoners to whom legal aid provided,Wages paid per day to convicts (in Rs.) - Skilled,Wages paid per day to convicts (in Rs.) - Semi Skilled,Wages paid per day to convicts (in Rs.) - Unskilled,16 - 18 Years - Male,16 - 18 Years - Female,18 - 30 Years - Male,18 - 30 Years - Female,30 - 50 Years - Male,30 - 50 Years - Female,50 Years & Above - Male,50 Years & Above - Female,State/UT_Mapped
State,Maharashtra,12809,0,2019,139,405,0,546,0,0,235,2032,236,10,10549,61.0,55.0,44.0,0,0,7818,223,8958,391,2677,174,14
State,Manipur,62,0,2019,0,0,0,16,0,0,0,64,0,0,1450,12.0,10.0,8.0,0,0,2482,75,5146,219,1052,71,15
State,Meghalaya,122,13,2019,0,18,0,0,0,0,0,25,131,0,564,149.0,141.0,132.0,0,0,25,2,52,1,21,1,16
State,Mizoram,1716,779,2019,0,0,0,3,0,0,0,0,185,0,1879,30.0,24.0,20.0,0,0,38,0,88,1,23,0,17
State,Nagaland,156,19,2019,61,0,0,5,0,0,0,89,9,0,45,135.0,125.0,115.0,0,0,207,11,287,14,51,3,18
State,Odisha,1353,26,2019,0,0,0,38,48,5,0,10,162,42,1175,60.0,50.0,40.0,0,0,41,0,63,0,14,0,19
State,Punjab,7208,392,2019,494,177,0,109,410,62,0,1832,4,54,3962,60.0,50.0,40.0,0,0,1210,25,1895,73,491,29,20
State,Rajasthan,13000,263,2019,0,0,0,121,1620,0,0,899,2,0,1364,150.0,0.0,130.0,0,0,3210,128,3474,153,1093,74,21
State,Sikkim,44,0,2019,46,11,26,5,0,0,0,39,0,0,387,40.0,30.0,30.0,2,0,2000,33,2991,111,984,48,22
State,Tamil Nadu,3333,25,2019,0,0,0,482,183,0,0,1246,97,697,5242,200.0,180.0,160.0,0,0,24,0,82,3,36,0,23
State,Telangana,27591,502,2019,32,1,0,179,1055,20,0,685,19,319,784,100.0,50.0,30.0,0,0,1151,25,2120,88,759,52,24
State,Tripura,837,6,2019,84,30,12,15,15,0,0,43,0,0,136,33.0,28.0,24.0,0,0,609,29,1100,73,224,45,25
State,Uttar Pradesh,29496,1247,2019,35,115,0,306,309,119,0,4138,667,2,7715,40.0,30.0,25.0,0,0,104,4,271,15,97,6,26
State,Uttarakhand,3676,5,2019,26,0,0,0,0,0,0,55,0,0,1372,45.0,35.0,30.0,0,0,5476,178,13054,505,7782,475,27
State,West Bengal,16800,991,2019,330,24,0,201,61,39,0,767,182,56,3063,100.0,90.0,80.0,0,0,520,13,1098,55,517,27,28
UT,Chandigarh,264,11,2019,15,51,10,17,0,0,0,132,0,0,480,80.0,70.0,60.0,0,0,8,1,37,3,16,0,30
UT,Delhi,3455,1120,2019,0,188,0,445,153,74,0,10001,0,25,62361,361.0,328.0,297.0,0,0,0,0,0,0,0,0,31
UT,Lakshadweep,0,0,2019,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,32
UT,Puducherry,114,6,2019,0,0,0,6,0,0,0,14,0,0,49,180.0,160.0,150.0,0,0,7,0,54,0,10,1,33
State,Andhra Pradesh,3263,213,2020,186,17,0,196,106,98,108,1196,0,0,916,70.0,50.0,30.0,0,0,827,23,1091,58,332,26,1
State,Arunachal Pradesh,11,0,2020,0,0,0,0,0,0,0,0,0,0,21,75.0,0.0,55.0,0,0,54,0,58,2,10,2,2
State,Assam,1245,62,2020,205,99,103,75,75,302,603,0,79,58,3222,100.0,80.0,0.0,0,0,570,31,1605,29,526,13,3
State,Bihar,1504,91,2020,585,55,0,442,77,34,54,555,1,0,2338,156.0,112.0,103.0,0,0,1994,72,3508,136,1929,91,4
State,Chhattisgarh,1161,15,2020,127,216,31,206,350,15,58,222,0,0,6350,75.0,0.0,60.0,0,0,2371,68,2539,160,880,78,5
State,Goa,24,4,2020,3,3,0,3,0,0,0,0,0,25,41,80.0,60.0,50.0,0,0,35,0,49,5,15,0,6
State,Gujarat,1808,1,2020,182,60,20,134,143,38,0,892,0,0,5729,100.0,80.0,70.0,0,0,1048,35,1920,80,692,46,7
State,Haryana,362,10,2020,120,268,25,96,42,800,0,561,0,0,1154,60.0,50.0,40.0,0,0,1445,25,1432,51,355,24,8
State,Himachal Pradesh,356,0,2020,23,31,1,57,59,9,35,68,0,0,570,0.0,0.0,300.0,0,0,135,1,479,9,152,14,9
State,Jharkhand,1644,116,2020,150,52,0,135,48,6,37,192,12,156,3310,225.0,200.0,175.0,0,0,1300,39,2610,99,948,88,10
State,Karnataka,3304,169,2020,6,0,0,21,0,0,0,898,2,0,6087,152.0,127.0,63.0,0,0,1257,59,1791,98,421,51,11
State,Kerala,5838,21,2020,148,277,38,276,400,0,194,767,0,0,4890,120.0,0.0,72.0,0,0,478,3,1195,39,686,17,12
State,Madhya Pradesh,3325,0,2020,0,910,7,844,22,0,132,3009,124,3,3911,67.0,61.0,48.0,0,0,5669,161,5703,260,1734,113,13
State,Maharashtra,19,0,2020,50,0,0,8,0,22,23,7,0,0,0,50.0,40.0,30.0,4,0,1491,42,2860,120,923,42,14
State,Manipur,60,0,2020,0,18,0,0,0,0,0,0,186,0,481,148.0,141.0,132.0,0,0,33,2,42,1,19,1,15
State,Meghalaya,965,402,2020,18,13,0,4,0,0,7,386,198,250,695,30.0,24.0,20.0,0,0,35,0,96,1,36,0,16
State,Mizoram,58,9,2020,53,0,6,3,0,15,0,35,6,0,74,135.0,125.0,115.0,0,0,172,5,213,11,27,1,17
State,Nagaland,922,19,2020,144,7,3,56,176,28,38,16,86,30,626,60.0,50.0,40.0,0,0,34,0,45,0,16,0,18
State,Odisha,2932,79,2020,140,52,0,61,93,23,0,911,2,35,2735,60.0,50.0,40.0,0,0,793,15,1822,59,522,33,19
State,Punjab,6657,317,2020,0,119,0,605,0,0,0,6691,0,34,1191,180.0,0.0,156.0,0,0,917,19,1344,53,385,23,20
